phase,domain,baseline,ho_density,sma_f1,baseline_f1,delta,ci_low,ci_high,cliffs,p_holm
before,ieee,BM25,0.0000,0.7298,0.7710,-0.0420,-0.0909,0.0070,-0.0420,0.2112
before,ieee,Dense,0.0000,0.7298,0.7268,0.0035,-0.0559,0.0664,0.0035,0.9539
