task,leg,metric,reference,baseline,n_queries,reference_mean,baseline_mean,delta,ci_low,ci_high,p_raw,p_holm,cliffs_delta
t2,HDFS_family_common,family_hit@5,SMA,BM25,501,0.7725,0.6291,0.1433,0.1174,0.1693,0.000200,0.000400,0.2666
t2,HDFS_family_common,family_hit@5,SMA,Dense RAG,501,0.7725,0.5222,0.2503,0.1972,0.3030,0.000200,0.000400,0.3515
t2,HDFS_family_rare,family_hit@5,SMA,BM25,27,0.7025,0.1481,0.5543,0.4037,0.7000,0.000200,0.000400,0.7037
t2,HDFS_family_rare,family_hit@5,SMA,Dense RAG,27,0.7025,0.0444,0.6580,0.5136,0.7963,0.000200,0.000400,0.8313
t2,BGL_triage,label_hit@1,SMA,BM25,1000,0.9910,0.9550,0.0360,0.0230,0.0500,0.000200,0.001200,0.0360
t2,BGL_triage,label_hit@1,SMA,Dense RAG,1000,0.9910,0.9920,-0.0010,-0.0070,0.0050,0.863914,1.000000,-0.0010
t2,BGL_triage,label_hit@1,SMA,HippoRAG,1000,0.9910,0.7030,0.2880,0.2590,0.3170,0.000200,0.001200,0.2880
t2,BGL_triage,label_hit@1,SMA,Hybrid+Rerank,1000,0.9910,0.9830,0.0080,0.0000,0.0160,0.051395,0.154185,0.0080
t2,BGL_triage,label_hit@1,SMA,Hybrid-RRF,1000,0.9910,0.9920,-0.0010,-0.0080,0.0050,0.880112,1.000000,-0.0010
t2,BGL_triage,label_hit@1,SMA,KG-PPR Proxy,1000,0.9910,0.9470,0.0440,0.0300,0.0580,0.000200,0.001200,0.0440
