arm,memory,n_all,n_rare,n_novel,t1_all,t1_rare,t5_all,t5_rare,t10_all,t10_rare,aurc,novelty_f1,best_enterprise,primary_delta_t5,primary_ci_low,primary_ci_high,primary_p,primary_cliffs
medicine,sma,324,274,36,0.7346,0.7190,0.9537,0.9489,0.9877,0.9854,0.0174,0.1818,hybrid_rerank,0.3333,0.2806,0.3889,0.0002,0.3333
medicine,bm25,324,274,36,0.2654,0.2920,0.4630,0.4854,0.5247,0.5401,0.5104,0.0000,hybrid_rerank,0.3333,0.2806,0.3889,0.0002,0.3333
medicine,dense,324,274,36,0.3148,0.3321,0.4815,0.4964,0.5895,0.5876,0.4010,0.0000,hybrid_rerank,0.3333,0.2806,0.3889,0.0002,0.3333
medicine,hybrid_rrf,324,274,36,0.3272,0.3504,0.5062,0.5109,0.5833,0.5912,0.5226,0.0000,hybrid_rerank,0.3333,0.2806,0.3889,0.0002,0.3333
medicine,hipporag,324,274,36,0.1451,0.1606,0.3580,0.3613,0.4660,0.4635,0.6282,0.1860,hybrid_rerank,0.3333,0.2806,0.3889,0.0002,0.3333
medicine,hybrid_rerank,324,274,36,0.3272,0.3358,0.5833,0.6058,0.6790,0.6934,0.3166,0.0000,hybrid_rerank,0.3333,0.2806,0.3889,0.0002,0.3333
