task,leg,method,metric,mean,sd,n_seeds,per_seed
t1,BGL->thunderbird_first20M,Dense RAG,macro_f1,0.7159,0.0317,5,201:0.7630;202:0.6997;203:0.7104;204:0.7273;205:0.6789
t1,BGL->thunderbird_first20M,HippoRAG,hit@1,0.7500,0.0798,5,201:0.8500;202:0.6550;203:0.7650;204:0.7950;205:0.6850
t1,BGL->thunderbird_first20M,HippoRAG,hit@10,0.6382,0.1110,5,201:0.4800;202:0.6000;203:0.7670;204:0.7165;205:0.6275
t1,BGL->thunderbird_first20M,HippoRAG,hit@5,0.6864,0.0612,5,201:0.5820;202:0.6920;203:0.7350;204:0.7260;205:0.6970
t1,BGL->thunderbird_first20M,HippoRAG,macro_f1,0.8166,0.1108,5,201:0.8412;202:0.9045;203:0.7394;204:0.9297;205:0.6682
t1,BGL->thunderbird_first20M,Hybrid+Rerank,hit@1,0.5420,0.0523,5,201:0.5050;202:0.5700;203:0.6200;204:0.5200;205:0.4950
t1,BGL->thunderbird_first20M,Hybrid+Rerank,hit@10,0.7120,0.0267,5,201:0.7415;202:0.7085;203:0.7265;204:0.7135;205:0.6700
t1,BGL->thunderbird_first20M,Hybrid+Rerank,hit@5,0.6516,0.0303,5,201:0.6440;202:0.6420;203:0.6950;204:0.6640;205:0.6130
t1,BGL->thunderbird_first20M,Hybrid+Rerank,macro_f1,0.6160,0.0915,5,201:0.5625;202:0.6153;203:0.7536;204:0.6384;205:0.5102
t1,BGL->thunderbird_first20M,Hybrid-RRF,hit@1,0.6050,0.0903,5,201:0.7350;202:0.6200;203:0.5500;204:0.6250;205:0.4950
t1,BGL->thunderbird_first20M,Hybrid-RRF,hit@10,0.6608,0.0413,5,201:0.6585;202:0.6100;203:0.6850;204:0.7155;205:0.6350
t1,BGL->thunderbird_first20M,Hybrid-RRF,hit@5,0.6550,0.0410,5,201:0.6480;202:0.6450;203:0.6950;204:0.6920;205:0.5950
t1,BGL->thunderbird_first20M,Hybrid-RRF,macro_f1,0.6885,0.0557,5,201:0.6800;202:0.6666;203:0.7756;204:0.6968;205:0.6236
t1,BGL->thunderbird_first20M,KG-PPR Proxy,hit@1,0.6010,0.1505,5,201:0.5000;202:0.6500;203:0.5050;204:0.5050;205:0.8450
t1,BGL->thunderbird_first20M,KG-PPR Proxy,hit@10,0.6654,0.0482,5,201:0.6990;202:0.6150;203:0.6190;204:0.6700;205:0.7240
t1,BGL->thunderbird_first20M,KG-PPR Proxy,hit@5,0.6924,0.0420,5,201:0.7260;202:0.6780;203:0.6260;204:0.7260;205:0.7060
t1,BGL->thunderbird_first20M,KG-PPR Proxy,macro_f1,0.5722,0.2187,5,201:0.7150;202:0.3333;203:0.3333;204:0.7211;205:0.7583
t1,BGL->thunderbird_first20M,SMA,hit@1,0.8790,0.0210,5,201:0.8850;202:0.9050;203:0.8600;204:0.8900;205:0.8550
t1,BGL->thunderbird_first20M,SMA,hit@10,0.7217,0.0314,5,201:0.6975;202:0.6795;203:0.7475;204:0.7485;205:0.7355
t1,BGL->thunderbird_first20M,SMA,hit@5,0.7544,0.0237,5,201:0.7580;202:0.7370;203:0.7340;204:0.7930;205:0.7500
t1,BGL->thunderbird_first20M,SMA,macro_f1,0.7271,0.0155,5,201:0.7150;202:0.7453;203:0.7273;204:0.7088;205:0.7394
t1,HDFS->OpenStack,BM25,hit@1,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,BM25,hit@10,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,BM25,hit@5,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,BM25,macro_f1,0.3333,0.0000,5,201:0.3333;202:0.3333;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,Dense RAG,hit@1,0.5060,0.0192,5,201:0.4950;202:0.5000;203:0.4950;204:0.5000;205:0.5400
t1,HDFS->OpenStack,Dense RAG,hit@10,0.5020,0.0049,5,201:0.4955;202:0.5045;203:0.5055;204:0.5065;205:0.4980
t1,HDFS->OpenStack,Dense RAG,hit@5,0.5040,0.0053,5,201:0.4980;202:0.5080;203:0.5020;204:0.5110;205:0.5010
t1,HDFS->OpenStack,Dense RAG,macro_f1,0.3976,0.0691,5,201:0.3837;202:0.3333;203:0.4851;204:0.4524;205:0.3333
t1,HDFS->OpenStack,HippoRAG,hit@1,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,HippoRAG,hit@10,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,HippoRAG,hit@5,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,HippoRAG,macro_f1,0.3333,0.0000,5,201:0.3333;202:0.3333;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,Hybrid+Rerank,hit@1,0.5410,0.0731,5,201:0.5150;202:0.5100;203:0.5800;204:0.6450;205:0.4550
t1,HDFS->OpenStack,Hybrid+Rerank,hit@10,0.4954,0.0121,5,201:0.4835;202:0.4815;203:0.5060;204:0.4995;205:0.5065
t1,HDFS->OpenStack,Hybrid+Rerank,hit@5,0.4942,0.0250,5,201:0.4760;202:0.4670;203:0.5210;204:0.5200;205:0.4870
t1,HDFS->OpenStack,Hybrid+Rerank,macro_f1,0.4394,0.0821,5,201:0.3537;202:0.4595;203:0.3866;204:0.5672;205:0.4302
t1,HDFS->OpenStack,Hybrid-RRF,hit@1,0.4980,0.0027,5,201:0.4950;202:0.5000;203:0.4950;204:0.5000;205:0.5000
t1,HDFS->OpenStack,Hybrid-RRF,hit@10,0.5024,0.0034,5,201:0.4990;202:0.5040;203:0.5010;204:0.5075;205:0.5005
t1,HDFS->OpenStack,Hybrid-RRF,hit@5,0.5008,0.0024,5,201:0.5030;202:0.5020;203:0.5000;204:0.5020;205:0.4970
t1,HDFS->OpenStack,Hybrid-RRF,macro_f1,0.3329,0.0010,5,201:0.3333;202:0.3311;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,KG-PPR Proxy,hit@1,0.4990,0.0022,5,201:0.5000;202:0.4950;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,KG-PPR Proxy,hit@10,0.5006,0.0007,5,201:0.5000;202:0.5005;203:0.5000;204:0.5010;205:0.5015
t1,HDFS->OpenStack,KG-PPR Proxy,hit@5,0.5014,0.0026,5,201:0.4980;202:0.5040;203:0.5000;204:0.5040;205:0.5010
t1,HDFS->OpenStack,KG-PPR Proxy,macro_f1,0.3432,0.0221,5,201:0.3333;202:0.3828;203:0.3333;204:0.3333;205:0.3333
t1,HDFS->OpenStack,SMA,hit@1,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,SMA,hit@10,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,SMA,hit@5,0.5000,0.0000,5,201:0.5000;202:0.5000;203:0.5000;204:0.5000;205:0.5000
t1,HDFS->OpenStack,SMA,macro_f1,0.3333,0.0000,5,201:0.3333;202:0.3333;203:0.3333;204:0.3333;205:0.3333
