arm,memory,n_all,n_rare,n_novel,t1_all,t1_rare,t5_all,t5_rare,t10_all,t10_rare,aurc,novelty_f1,best_enterprise,primary_delta_t5,primary_ci_low,primary_ci_high,primary_p,primary_cliffs
legal,sma,324,0,36,0.8148,0.0000,0.9414,0.0000,0.9722,0.0000,0.0206,0.1818,dense,0.0639,0.0250,0.1028,0.0022,0.0639
legal,bm25,324,0,36,0.4352,0.0000,0.6698,0.0000,0.7315,0.0000,0.2899,0.0000,dense,0.0639,0.0250,0.1028,0.0022,0.0639
legal,dense,324,0,36,0.6605,0.0000,0.8704,0.0000,0.9537,0.0000,0.0587,0.0000,dense,0.0639,0.0250,0.1028,0.0022,0.0639
legal,hybrid_rrf,324,0,36,0.5617,0.0000,0.7932,0.0000,0.8889,0.0000,0.2035,0.0000,dense,0.0639,0.0250,0.1028,0.0022,0.0639
legal,hipporag,324,0,36,0.2068,0.0000,0.4167,0.0000,0.5247,0.0000,0.4617,0.1823,dense,0.0639,0.0250,0.1028,0.0022,0.0639
legal,hybrid_rerank,324,0,36,0.4506,0.0000,0.7932,0.0000,0.8889,0.0000,0.1608,0.0000,dense,0.0639,0.0250,0.1028,0.0022,0.0639
