phase,domain,baseline,ho_density,sma_f1,baseline_f1,delta,ci_low,ci_high,cliffs,p_holm
expert,diabetes,BM25,0.0752,0.4656,0.5198,-0.0467,-0.1200,0.0300,-0.0467,0.2470
expert,diabetes,Dense,0.0752,0.4656,0.5651,-0.0933,-0.1667,-0.0200,-0.0933,0.0328
