arm,slice,n,best_baseline,sma_t1,sma_t5,sma_t10,dense_t5,hippo_t5,phen_t5,jac_t5,base_t5,delta_t5,ci_low,ci_high,p_value,p_holm,cliffs,verdict
A1-hpo-rare-disease,all,360,phen,0.6694,0.9111,0.9889,0.6167,0.3139,0.9444,0.7111,0.9444,-0.0333,-0.0639,-0.0028,0.0366,0.0732,-0.0333,parity/null
A2-go-gene-function,all,360,phen,0.5083,0.7750,0.8361,0.6722,0.2639,0.7861,0.6972,0.7861,-0.0111,-0.0611,0.0389,0.7079,0.7079,-0.0111,parity/null
A1-hpo-rare-disease,rare,312,phen,0.6667,0.9167,0.9872,0.6218,0.3365,0.9519,0.7083,0.9519,-0.0353,-0.0705,-0.0032,0.0466,0.0932,-0.0353,parity/null
A2-go-gene-function,rare,228,phen,0.5395,0.8465,0.9211,0.7193,0.3026,0.8596,0.7368,0.8596,-0.0132,-0.0658,0.0395,0.6773,0.6773,-0.0132,parity/null
