phase,metric,baseline,ho_density,sma_f1,baseline_f1,delta,ci_low,ci_high,cliffs,p_holm
before,accuracy,BM25,0.0000,0.4246,0.5365,-0.0333,-0.1067,0.0433,-0.0333,0.4172
before,accuracy,Dense,0.0000,0.4246,0.5651,-0.0633,-0.1433,0.0167,-0.0633,0.2540
