arm,memory,n_all,n_rare,n_novel,t1_all,t1_rare,t5_all,t5_rare,t10_all,t10_rare,aurc,novelty_f1,best_enterprise,primary_delta_t5,primary_ci_low,primary_ci_high,primary_p,primary_cliffs
finance,sma,324,208,36,0.1605,0.2115,0.3765,0.4183,0.5062,0.5577,0.5302,0.1818,hybrid_rrf,0.1667,0.1111,0.2250,0.0002,0.1667
finance,bm25,324,208,36,0.0679,0.0913,0.1821,0.2500,0.2778,0.3317,0.8508,0.0000,hybrid_rrf,0.1667,0.1111,0.2250,0.0002,0.1667
finance,dense,324,208,36,0.0432,0.0577,0.1698,0.1875,0.2809,0.2644,0.7832,0.0000,hybrid_rrf,0.1667,0.1111,0.2250,0.0002,0.1667
finance,hybrid_rrf,324,208,36,0.0586,0.0769,0.1914,0.2308,0.2840,0.2981,0.7945,0.0000,hybrid_rrf,0.1667,0.1111,0.2250,0.0002,0.1667
finance,hipporag,324,208,36,0.0093,0.0144,0.0741,0.1010,0.1204,0.1106,0.9254,0.1789,hybrid_rrf,0.1667,0.1111,0.2250,0.0002,0.1667
finance,hybrid_rerank,324,208,36,0.0370,0.0529,0.1728,0.2019,0.2562,0.2740,0.8572,0.0000,hybrid_rrf,0.1667,0.1111,0.2250,0.0002,0.1667
