seed,leg,method,query_id,rank,r1,rr
41,forced_choice,SMA,fc_41_95,1,1.0,1.0
41,forced_choice,SMA,fc_41_96,1,1.0,1.0
41,forced_choice,SMA,fc_41_97,1,1.0,1.0
41,forced_choice,SMA,fc_41_98,1,1.0,1.0
41,forced_choice,SMA,fc_41_99,1,1.0,1.0
41,library,SMA,857abac8e48bf190b9dace1f250a3f7b0a5398ea64f3c0ef3242676cb2e7beec,1,1.0,1.0
41,library,SMA,4983ed4e2efec3f237fa6aae323802a5802d53c61801a0a9fb998c3d19087ce5,1,1.0,1.0
41,library,SMA,f2e81d4b25ade5f081f1cec62aafb08bc596640aabd0336a24e63da791bd1745,1,1.0,1.0
41,library,SMA,b624d1d49ec0d881812596e0c69c28eb29b8551280c6de7116b4aff2c62810d7,2,0.0,0.5
41,library,SMA,2cdabda0e7456a46d9151e284e51249b04b898d7f3a45ddf47d415c93c479b82,1,1.0,1.0
41,library,SMA,158e644122cf79bdaa6fe07013cebfafe14a35931c3a36184f34c37be7b6bf42,2,0.0,0.5
41,library,SMA,96b266e222c2f83a3c7eb429d47446629656bda608a2d5f2d81688fe29f2d48c,1,1.0,1.0
41,library,SMA,73eccbbde45e0215b88512f722793c6479981e443e57c4d969a32b2cec7d81ad,1,1.0,1.0
41,library,SMA,8f004cf4ebabe4ddae4a9038d64de9585833a6916817b72325d86d832ae4d458,1,1.0,1.0
41,library,SMA,eec2f41e9f3db35307f33e7fbbb3fadf4f65e2d876f3c475574ae15710bb1c63,1,1.0,1.0
41,library,SMA,7e9da7d65cf0c2b08d38bd49e82408a36b22a1f4fec14300ede6a74480d44b3e,1,1.0,1.0
41,library,SMA,3e55f2182743833951ada91dfa6c7d26b9efba8cd02691b4141d69447a369b2d,1,1.0,1.0
41,library,SMA,03f0cbaa6f753918b1e458f2dcc10f43113242bba45ce25cd33bd736d9b59a2d,1,1.0,1.0
41,library,SMA,b6d4bda0c544c5e81cfab9070f4cfc69f75540a5b208a03901fd1e523abec280,1,1.0,1.0
41,library,SMA,5fc402f526b5f104cab6052deecf7b8fa24ede5cc5c16f47922f6170034040c8,1,1.0,1.0
41,library,SMA,78fb5a7c6f113b81537bf758d58d36e86252561bce5d9719740c693994bf7928,1,1.0,1.0
41,library,SMA,9da1d68de5219e4b981f1ae5b9278c9e56ce390fca029f565b0d91e1f464718e,1,1.0,1.0
41,library,SMA,1e6253cbf2b0b519f364d744530b3e92ba84004d332078b2e7fa7fdc392ba52c,2,0.0,0.5
41,library,SMA,fd0dcfb33f92105df4bcd2ed3ac767b23b6ab9838e092bd1d4fc8c9a56a580fd,1,1.0,1.0
41,library,SMA,4c3bd4291c460520743eeb7396fca9c8cef8bdf1ea55176677edd1f26981139d,1,1.0,1.0
41,library,SMA,8b257a0edfe2e31964b0fdd07a442ec98ab23302dcc7f2eebb656c888534fe58,1,1.0,1.0
41,library,SMA,38ed5843a4a31edd66e0c72170b2e90e53168668473d8f3c4168b3cedb6c609f,1,1.0,1.0
41,library,SMA,06cc6e47f4b855fe7c3008089053833c2cf9ccf9460135503404d48890bd13f1,1,1.0,1.0
41,library,SMA,09b9ee635a2094b10d94cd7542c4378c3d4a6356b6ba52236b342d769ee5abca,1,1.0,1.0
41,library,SMA,d42a2aae86599b2d5edf7b8f7b2d59eee4057b53114688a0ad6c17731e10e2e9,1,1.0,1.0
41,library,SMA,59b11642fa61537d4a735cc5a7091824876cce6631307a170056253bf81bcd3b,1,1.0,1.0
41,library,SMA,fad4cb0085848de2db7273c941add4dbab900311074ee5a5023a328b818c93b9,1,1.0,1.0
41,library,SMA,38896a4d03fc5f681c0e3a9128718b22588ca34b9fa18c0d89d811ee3b5fdbe0,1,1.0,1.0
41,library,SMA,3129b00762c4a0278be8e8c742b328a7fb84c8bcd698ec05b9fcd2fefd05b6ab,1,1.0,1.0
41,library,SMA,23fd45e1da6fad58695cdce070343c598342ef3d99b8eaeb6f54fa56f035a200,1,1.0,1.0
41,library,SMA,03f20331840184d3a618eb6e8462ff0f2a5027652dfa10c1bd23eb9ef1718b54,2,0.0,0.5
41,library,SMA,00f915ed03fb056875ad3636c68d7808ab9b3c25231f2514bbff417ae191bb60,1,1.0,1.0
41,library,SMA,3e84740b5d59a3dc603b5b77c1e7616086b649fde65698608a02e87e71a83732,1,1.0,1.0
41,library,SMA,ac8d71b82784207407fd7794ca629931765b4cd064494419640b8ddb0abaddaa,1,1.0,1.0
41,library,SMA,fd1049a6599e5a45e8cafc35c983aa278c00237fdcd6506217c15f8d6a7d09d9,1,1.0,1.0
41,library,SMA,4691714159388508affec86fac8ad52a19cb755f046fce499b13f9b812d93a91,1,1.0,1.0
41,library,SMA,930086dfe34a4b49098c2805106dd3387a9a018dca0a916dc53c3236b7e46c28,1,1.0,1.0
41,library,SMA,4d18d4b46971edefe69e165bbf3d355bd09882daad896fa2a113d59670766386,1,1.0,1.0
41,library,SMA,e6b6766f07e2e48180a8728be7f2831f84ec4c08a641976f4ef7211f952e6ec8,1,1.0,1.0
41,library,SMA,6c8504aad308bdfb97e313f240871b8d9c54ab525e4c263928269e004311ae71,1,1.0,1.0
41,library,SMA,070c926019c743c856948309d217e40ae4de7b0dcf320237dd71c05ced6572db,1,1.0,1.0
41,library,SMA,57f447c9c4297e527c02460119090a9cf95b189b0960cc428514ccd12fd40e5b,1,1.0,1.0
41,library,SMA,448923ecde33fc23496960b4f20cc1b0def6c519628b9f0cccb13209efa846bb,1,1.0,1.0
41,library,SMA,a2ae2b747abfcc268ae17edd53153a7d3f7bef9f17a14333cc46ba12758eb1be,1,1.0,1.0
41,library,SMA,c03c7e04a4fc1d9e5e1637712b53ad01437d43df9e8541af7b43d90d29c57d6a,1,1.0,1.0
41,library,SMA,a0c9af918a185f012881c9847df34daf8eefedcb613f8db55761354b8cab5d33,1,1.0,1.0
41,library,SMA,73e5e0cf5df55a534f3d2ce62768cfdd7fedefdb3f2857442dc324c57e0469d0,2,0.0,0.5
41,library,SMA,5ef77626f0c6168ef610df8417f28c9caa2cdae96d6facfd49dcff5efe155a91,1,1.0,1.0
41,library,SMA,e44bbf9428754ec60369ba1e77769319a457991280e63914e8de4a9d7d5d9d6a,1,1.0,1.0
41,library,SMA,9cf7e34ed768b0998e26fc9def180d12ab32b893202de69a84cc4817a6f21bf9,1,1.0,1.0
41,library,SMA,ede7616201b563d1c723406ad968012e8c40fef88ef1c1cac8f20c4965b381dc,2,0.0,0.5
41,library,SMA,f28148f7b984d90771e8f6b7a10dfd6ffacecfee763ed3b474b05af8396281a7,1,1.0,1.0
41,library,SMA,6bf282f8ef8967babf4f9466abc45d575c62beb5f3a3373f329aa61eda8b4b8b,1,1.0,1.0
41,library,SMA,fc7848840afcde711930f68ce67684af85e1d219e17d0bc7864f9a23db9f5d71,2,0.0,0.5
41,library,SMA,ed1f5673ae8f44c0dbe105788e4ba0cb48edad8047ebf76a44dbe98a013cc205,1,1.0,1.0
41,library,SMA,72746aa95ad33c5f00d27fe7c7525473f9a690b3abfd4a52f57d0e016d17c21c,1,1.0,1.0
41,library,SMA,9a4c22e29b6622180ebc9cf18c947be7e17fff243c004300c095d94ae8884474,1,1.0,1.0
41,library,SMA,376e8a22f788db88c9a7980318efde508ff4f20ddb54478855ef8e167655478b,1,1.0,1.0
41,library,SMA,ee30f13e7d1d8f97c92f0a9616b1569b43dc51d1e438dbd57e0bf42dcdc8b615,1,1.0,1.0
41,library,SMA,dec9cdb8dfe361ea75ad29136bfd16b276ef274bf96c701265ae3398ef6e27b5,1,1.0,1.0
41,library,SMA,4a3436d17be585fcdd04750e3c6f3ec9a8068614476aa95ca42afc9a2855d5aa,2,0.0,0.5
41,library,SMA,0efa2cd220b1cfad9d723f7820305cd77c0a2bc804eec5bef0afdf4202322452,1,1.0,1.0
