arm,memory,n_all,n_rare,n_novel,t1_all,t1_rare,t5_all,t5_rare,t10_all,t10_rare,aurc,novelty_f1,best_enterprise,primary_delta_t5,primary_ci_low,primary_ci_high,primary_p,primary_cliffs
discovery,sma,324,192,36,0.5710,0.5885,0.7963,0.8490,0.8611,0.9323,0.1061,0.1777,dense,0.1556,0.1000,0.2111,0.0002,0.1556
discovery,bm25,324,192,36,0.2130,0.2865,0.4352,0.5521,0.5340,0.6354,0.6376,0.0000,dense,0.1556,0.1000,0.2111,0.0002,0.1556
discovery,dense,324,192,36,0.3827,0.4427,0.6235,0.6823,0.7531,0.7865,0.2982,0.0000,dense,0.1556,0.1000,0.2111,0.0002,0.1556
discovery,hybrid_rrf,324,192,36,0.3364,0.4167,0.6204,0.7031,0.7562,0.8177,0.3918,0.0000,dense,0.1556,0.1000,0.2111,0.0002,0.1556
discovery,hipporag,324,192,36,0.0926,0.1094,0.2778,0.3177,0.3735,0.4010,0.7214,0.1854,dense,0.1556,0.1000,0.2111,0.0002,0.1556
discovery,hybrid_rerank,324,192,36,0.2654,0.3281,0.5401,0.6510,0.6883,0.8177,0.4348,0.0000,dense,0.1556,0.1000,0.2111,0.0002,0.1556
