task,leg,method,metric,mean,sd,n_seeds,per_seed
t4,liberty_haystack,BM25,hit@1,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
t4,liberty_haystack,BM25,needle_hit@5,0.9540,0.0167,5,201:0.9550;202:0.9750;203:0.9400;204:0.9650;205:0.9350
t4,liberty_haystack,Dense RAG,hit@1,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
t4,liberty_haystack,Dense RAG,needle_hit@5,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
t4,liberty_haystack,Hybrid-RRF,hit@1,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
t4,liberty_haystack,Hybrid-RRF,needle_hit@5,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
t4,liberty_haystack,SMA,hit@1,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
t4,liberty_haystack,SMA,needle_hit@5,0.9950,0.0112,5,201:1.0000;202:1.0000;203:1.0000;204:1.0000;205:0.9750
