phase,domain,baseline,ho_density,sma_f1,baseline_f1,delta,ci_low,ci_high,cliffs,p_holm
after,diabetes,BM25,0.4023,0.4845,0.5297,-0.0300,-0.1067,0.0433,-0.0300,0.4548
after,diabetes,Dense,0.4023,0.4845,0.5651,-0.0667,-0.1467,0.0133,-0.0667,0.2132
