phase,domain,baseline,ho_density,sma_f1,baseline_f1,delta,ci_low,ci_high,cliffs,p_holm
after,ieee,BM25,0.7763,0.7056,0.7673,-0.0629,-0.1154,-0.0105,-0.0629,0.0492
after,ieee,Dense,0.7763,0.7056,0.7268,-0.0210,-0.0804,0.0385,-0.0210,0.5437
