ses_raw,u_bound
116.250000,768.000000
116.250000,768.000000
113.000000,768.000000
113.000000,768.000000
113.000000,768.000000
101.750000,768.000000
100.750000,768.000000
97.500000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
102.500000,768.000000
102.500000,768.000000
102.500000,768.000000
105.750000,768.000000
105.750000,768.000000
105.750000,768.000000
98.000000,768.000000
98.000000,768.000000
98.000000,768.000000
98.000000,768.000000
98.000000,768.000000
98.000000,768.000000
102.500000,768.000000
102.500000,768.000000
102.500000,768.000000
93.250000,768.000000
98.000000,768.000000
98.000000,768.000000
90.000000,768.000000
90.000000,768.000000
90.000000,768.000000
89.750000,768.000000
107.250000,768.000000
93.000000,768.000000
93.250000,768.000000
102.500000,768.000000
85.000000,768.000000
80.500000,768.000000
80.500000,768.000000
105.750000,768.000000
91.500000,768.000000
77.750000,768.000000
97.250000,768.000000
76.250000,768.000000
95.500000,768.000000
83.750000,768.000000
82.750000,768.000000
99.000000,768.000000
74.750000,768.000000
88.250000,768.000000
88.250000,768.000000
72.250000,768.000000
97.250000,768.000000
83.000000,768.000000
80.500000,768.000000
72.250000,768.000000
76.250000,768.000000
72.250000,768.000000
72.250000,768.000000
72.250000,768.000000
67.750000,768.000000
72.250000,768.000000
83.250000,768.000000
28.500000,192.000000
28.500000,188.000000
28.500000,192.000000
28.500000,188.000000
28.500000,192.000000
28.500000,192.000000
28.500000,192.000000
28.500000,188.000000
75.250000,768.000000
23.750000,188.000000
23.750000,188.000000
69.750000,768.000000
70.250000,748.000000
17.250000,100.000000
17.250000,100.000000
17.250000,100.000000
15.750000,100.000000
15.750000,100.000000
15.750000,100.000000
15.750000,100.000000
15.750000,100.000000
155.750000,1156.000000
155.750000,1156.000000
155.750000,1156.000000
150.750000,1156.000000
145.250000,1172.000000
154.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
140.250000,1156.000000
149.500000,1192.000000
145.250000,1172.000000
135.750000,1156.000000
135.250000,1156.000000
140.250000,1156.000000
142.250000,1176.000000
131.250000,1172.000000
138.750000,1156.000000
138.750000,1156.000000
130.000000,1156.000000
134.250000,1156.000000
126.250000,1156.000000
126.250000,1156.000000
126.250000,1156.000000
126.250000,1156.000000
126.250000,1156.000000
125.750000,1156.000000
125.750000,1156.000000
132.250000,1172.000000
128.000000,1156.000000
128.750000,1156.000000
135.750000,1156.000000
128.500000,1156.000000
129.000000,1176.000000
129.750000,1156.000000
122.000000,1156.000000
123.500000,1156.000000
100.500000,768.000000
92.000000,864.000000
113.750000,1172.000000
89.750000,768.000000
89.750000,768.000000
88.250000,768.000000
87.750000,768.000000
112.000000,1156.000000
115.250000,1156.000000
109.000000,1156.000000
80.750000,812.000000
107.250000,1156.000000
78.750000,768.000000
112.000000,1156.000000
110.750000,1156.000000
101.500000,1156.000000
100.750000,1156.000000
107.750000,1172.000000
99.750000,1156.000000
103.000000,1156.000000
98.500000,1156.000000
95.500000,1156.000000
95.500000,1156.000000
95.500000,1156.000000
100.500000,1060.000000
102.000000,1156.000000
109.750000,1156.000000
109.000000,1192.000000
99.500000,1136.000000
28.500000,200.000000
28.500000,200.000000
28.500000,200.000000
25.500000,204.000000
25.500000,204.000000
25.500000,204.000000
25.500000,204.000000
25.500000,204.000000
23.750000,200.000000
23.750000,200.000000
15.750000,100.000000
15.750000,100.000000
15.750000,100.000000
15.750000,100.000000
15.750000,100.000000
14.750000,100.000000
14.750000,100.000000
14.750000,100.000000
192.250000,1468.000000
193.500000,1468.000000
175.250000,1352.000000
183.500000,1408.000000
172.250000,1368.000000
160.250000,1360.000000
144.500000,1352.000000
140.500000,1172.000000
154.250000,1336.000000
139.250000,1208.000000
139.250000,1208.000000
142.000000,1324.000000
134.250000,1172.000000
134.000000,1156.000000
130.750000,1156.000000
130.750000,1156.000000
130.750000,1156.000000
127.750000,1324.000000
138.000000,1468.000000
126.750000,1196.000000
146.500000,1352.000000
125.250000,1208.000000
125.250000,1208.000000
125.250000,1196.000000
124.250000,1196.000000
135.500000,1344.000000
135.750000,1344.000000
122.000000,1208.000000
143.500000,1468.000000
119.000000,1172.000000
118.250000,1156.000000
141.000000,1348.000000
116.000000,1176.000000
115.750000,1156.000000
115.750000,1156.000000
115.750000,1156.000000
